Domain	Phylum	Class	Order	Family	Genus	Species
meta_mOTU_v2_7715	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. CAG:1060
meta_mOTU_v2_7714	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Coprobacillus sp. CAG:698
meta_mOTU_v2_7201	Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria
meta_mOTU_v2_7772	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. CAG:324
meta_mOTU_v2_6946	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. CAG:324
meta_mOTU_v2_6143	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. CAG:324
meta_mOTU_v2_7279	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. CAG:324
meta_mOTU_v2_6008	Bacteria	Firmicutes	Bacilli	Bacillales	unknown Bacillales	unknown Bacillales	unknown Bacillales
ref_mOTU_v2_3662	Bacteria	Tenericutes	Mollicutes	Mollicutes order incertae sedis	Mollicutes fam. incertae sedis	Mollicutes gen. incertae sedis	Mollicutes bacterium HR1
ref_mOTU_v2_3663	Bacteria	Tenericutes	Mollicutes	Mollicutes order incertae sedis	Mollicutes fam. incertae sedis	Mollicutes gen. incertae sedis	Mollicutes bacterium HR2
meta_mOTU_v2_7712	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	unknown Solobacterium
meta_mOTU_v2_7689	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
ref_mOTU_v2_0531	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	Solobacterium moorei
meta_mOTU_v2_6180	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	unknown Prevotella
ref_mOTU_v2_5060	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae gen. incertae sedis	Erysipelotrichaceae bacterium NK3D112
meta_mOTU_v2_7790	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unknown Erysipelotrichaceae	unknown Erysipelotrichaceae
ref_mOTU_v2_4772	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia extructa
ref_mOTU_v2_2557	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania massiliensis
ref_mOTU_v2_4459	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania filiformis
ref_mOTU_v2_1967	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	Erysipelothrix tonsillarum
ref_mOTU_v2_1423	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	Erysipelothrix rhusiopathiae
ref_mOTU_v2_0138	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Dielma	Dielma fastidiosa [C]
meta_mOTU_v2_6870	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
ref_mOTU_v2_1395	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. 3_1_31 [C]
meta_mOTU_v2_7615	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
ref_mOTU_v2_0643	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium] innocuum [C Clostridioides difficile]
ref_mOTU_v2_4724	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae gen. incertae sedis	Erysipelotrichaceae bacterium 3_1_53
meta_mOTU_v2_6237	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
ref_mOTU_v2_4236	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae gen. incertae sedis	[Eubacterium] dolichum
meta_mOTU_v2_6340	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Merdibacter	Merdibacter massiliensis
meta_mOTU_v2_7589	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella biformis
meta_mOTU_v2_6468	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella biformis
meta_mOTU_v2_7329	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella biformis
meta_mOTU_v2_7667	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella biformis
ref_mOTU_v2_4395	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella biformis
ref_mOTU_v2_1470	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea	Faecalitalea cylindroides
ref_mOTU_v2_2178	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalicoccus	Faecalicoccus pleomorphus
meta_mOTU_v2_6542	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_7454	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_7791	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
ref_mOTU_v2_2707	Bacteria	Firmicutes	Firmicutes sensu stricto class incertae sedis	Firmicutes sensu stricto order incertae sedis	Firmicutes sensu stricto fam. incertae sedis	Firmicutes sensu stricto gen. incertae sedis	Firmicutes bacterium M10-2
ref_mOTU_v2_1667	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	Allobaculum stercoricanis
ref_mOTU_v2_0473	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium] saccharogumia
ref_mOTU_v2_4235	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium] spiroforme
ref_mOTU_v2_0885	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae gen. [C Coprobacillus/Erysipelatoclostridium]	Erysipelotrichaceae sp. [C Coprobacillus/Erysipelatoclostridium ramosum]
ref_mOTU_v2_3608	Bacteria	Bacteria phylum incertae sedis	Bacteria class incertae sedis	Bacteria order incertae sedis	Bacteria fam. incertae sedis	Bacteria gen. incertae sedis	bacterium LF-3
meta_mOTU_v2_5525	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_5738	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unknown Erysipelotrichaceae	unknown Erysipelotrichaceae
ref_mOTU_v2_1401	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Coprobacillus sp. [C 29_1/D6]
ref_mOTU_v2_2558	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	candidatus Stoquefichus	candidatus Stoquefichus massiliensis
meta_mOTU_v2_5801	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	unknown Erysipelotrichaceae	unknown Erysipelotrichaceae
meta_mOTU_v2_7010	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Massiliomicrobiota	unknown Massiliomicrobiota
ref_mOTU_v2_3343	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Sharpea	Sharpea azabuensis
ref_mOTU_v2_1543	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Eggerthia	Eggerthia catenaformis
ref_mOTU_v2_0001	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Kandleria	Kandleria vitulina
meta_mOTU_v2_6331	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_7404	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_7755	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_6303	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_5729	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:568
